09:26:18.551 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=1356 | UDP datagram | rtt=-
09:26:18.551 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=72 | UDP datagram | rtt=-
09:26:18.551 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=85 | UDP datagram | rtt=-
09:26:18.555 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=66 | TCP ACK | rtt=-
09:26:18.828 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=151 | TCP PSH | rtt=-
09:26:18.828 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:18.868 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=155 | TCP PSH | rtt=-
09:26:18.871 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.871 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.871 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
